Title,Url,Page,Location on page,Side,Drawing Inscription,Drawing Date,Support Material,Drawing Medium and Style,Set of Drawings,Drawing Source,Title of depicted object,Current Location,GeolocCurrentLocation,Current inventory no.,Source object material,Source object type,Date,Discovery date,Archeological Findspot,geolocFindspot,Provenance,Collector,Iconography,Tracing Source,Online Collection Record,Bibliographic References:,Notes,Updated date
Bassorilievo - Bucranium,http://digitalmontagny.inha.fr/en/record/montagny11v01b,Folio 11 Verso,"Leaf 11v, top of the page",Vertical,"Teste de Taureau , despouillée de sa chair, mise, entre les enseignes de la religion, par les anciens.",,Transparent paper,"Ink, line drawing",,Engraving,Tabularium of the Temple of Vespasianus,Rome. Musei Capitolini,"41.8929428, 12.4825577",no inventory number,marble (rock),bas-relief (sculpture technique),,,,,,,Bucranium,"Du Choul, 1581 - p.318",,,,2015-07-03T11:13:00Z
(Drawing of invention) - Pelican,http://digitalmontagny.inha.fr/en/record/montagny40r02a,Folio 40 Recto,"Leaf 40r, middle of the page, left","Horizontal, turn book clockwise","Pélican oiseau qui a fait le, sujet de plusieurs fables, entr'autres qu'il aimait, si fort ses petits, qu'il mourait pour eux et se déchirait, l'estomac pour les nourrir. c'est sur cette opinion que le, pélican est regardé comme l'image de l'amour, paternel, et de l'amour des Princes pour les peuples.",,Transparent paper,"Ink, chiaroscuro",,None,,Location unknown,,,,,,,,,,,Pelican,,,,,2015-03-16T14:37:00Z
(drawing of invention) - Putto,http://digitalmontagny.inha.fr/en/record/montagny14v02b,Folio 14 Verso,"Leaf 14v, top right of the page",Vertical,[pencil] Montagny inventò,,Transparent paper,"Pencil, chiaroscuro",,None,,Location unknown,,,,,,,,,,,"Cupid, Lyre",,,,,2015-08-05T15:59:00Z
(drawing of invention) - Swan,http://digitalmontagny.inha.fr/en/record/montagny14v02e,Folio 14 Verso,"Leaf 14v, top right of the page",Vertical,,,Transparent paper,"Pencil, chiaroscuro",,None,,Location unknown,,,,,,,,,,,Swan,,,,,2015-03-16T13:48:00Z
(Drawing of invention) - Venus,http://digitalmontagny.inha.fr/en/record/montagny13v02b,Folio 13 Verso,"Leaf 13v, bottom of the page, left",Vertical,"cette venus est , composée par Mr , Montagny, peintre , d'histoire",,Transparent paper,"Ink, line drawing",,None,,Location unknown,,,,,,,,,,,Diadem,,,,,2015-06-17T13:13:00Z
(drawing of invention) - Woman's head,http://digitalmontagny.inha.fr/en/record/montagny40r02c,Folio 40 Recto,"Leaf 40r, middle of the page, left","Horizontal, turn book clockwise",Jolie tête d'une Baigneuse,,Transparent paper,"Ink, line drawing",,None,,Location unknown,,,,,,,,,,,,,,,,2015-03-16T14:38:00Z
Bassorilevo - Frieze of Acanthus,http://digitalmontagny.inha.fr/en/record/montagny14v02a,Folio 14 Verso,"Leaf 14v, top right of the page",Vertical,,,White paper,"Pencil, chiaroscuro",,Original work of art (made from),,Location unknown,,,,,,,,,,,Acanthus,,,,,2015-09-12T13:21:00Z
Bassorilievo,http://digitalmontagny.inha.fr/en/record/montagny76v01,Folio 76 Verso,"Leaf 76v, center of the page","Horizontal, turn book clockwise","Bassorilievo trovato nel tempio dela fortuna vicino da, napoli. _____",,White paper,"Pencil, chiaroscuro",,Original work of art (made from),,Location unknown,,,,bas-relief (sculpture technique),,,,,,,Coat,,,,,2015-08-14T18:13:00Z
Bassorilievo (?) - Axe,http://digitalmontagny.inha.fr/en/record/montagny10v06a,Folio 10 Verso,"Leaf 10v, lower middle of the page, right",Vertical,"[diagonal] Altra Scure , Antica",,Transparent paper,"Ink, chiaroscuro",,Engraving,,Location unknown,,,,,,,,,,,Axe,"Du Choul, 1581 - p. 322",,,,2015-06-05T14:22:00Z
,,,,,,,,,,,,,,,,,,,,,,,,Crossed axes,,,,
Bassorilievo (?) - Axe,http://digitalmontagny.inha.fr/en/record/montagny17v01,Folio 17 Verso,Leaf 17v,Vertical,"hache Antique, d'un très beau style",,Transparent paper,"Ink, chiaroscuro",,Engraving,,Location unknown,,,,,,,,,,,Axe,"André-Bardon, 1772 - 4e cahier, pl. 2",,,,2015-08-15T14:25:00Z
Bassorilievo (?) - Axe and knife,http://digitalmontagny.inha.fr/en/record/montagny10v06b,Folio 10 Verso,"Leaf 10v, lower middle of the page, right",Vertical,"coignée , pontificale , accompagnée du , couteau retiréz , de l’Antique",,Transparent paper,"Ink, chiaroscuro",,Engraving,,Location unknown,,,,,,,,,,,"Axe, Knife",,,,,2015-06-17T11:57:00Z
"Bassorilievo (?) - Beds, tripod, candelabrum",http://digitalmontagny.inha.fr/en/record/montagny13v01,Folio 13 Verso,"Leaf 13v, top of the page",Vertical,"Questi mobili sono ricavati dall Antico, Sofà Antico, Mensa Antica, candelabro , Antico , Letto Antico, Panneggiatura",,White paper,"Ink, line drawing",,Engraving,,Location unknown,,,,candelabrum (motifs),,,,,,,"Bed, Bucranium, Candelabrum, Lion's head, Torch, Tripod",,,,,2015-06-17T12:00:00Z
Bassorilievo (?) - Candelabrum,http://digitalmontagny.inha.fr/en/record/montagny15r06,Folio 15 Recto,"Leaf 15r, middle right of the page",Vertical,Candélabre Antique,,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,candelabrum (motifs),,,,,,,Candelabrum,,,,,2015-06-17T12:04:00Z
Bassorilievo (?) - Chariot,http://digitalmontagny.inha.fr/en/record/montagny84r04,Folio 84 Recto,"Leaf 84r, middle of the page, right","Horizontal, turn book clockwise",molto leggiadro carro Antico,,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,,,,,,,,Chariot,,,,,2015-06-17T12:11:00Z
Bassorilievo (?) - Eagle,http://digitalmontagny.inha.fr/en/record/montagny53r03,Folio 53 Recto,"Leaf 53r, bottom of the page",Vertical,"34., Aquila Antica",,White paper,"Pencil, line drawing",Rome sketchbook,Original work of art (made from),,Location unknown,,,,,,,,,,,Eagle,,,,,2015-07-23T14:35:00Z
Bassorilievo (?) - Egyptian head,http://digitalmontagny.inha.fr/en/record/montagny13v02a,Folio 13 Verso,"Leaf 13v, bottom of the page, left",Vertical,antico,,Transparent paper,"Ink, line drawing",,Original work of art (made from),,Location unknown,,,,,,,,,,,"Egyptian Goddesses, demi-goddesses, heroines, etc.",,,,,2015-03-16T13:40:00Z
Bassorilievo (?) - Helmet,http://digitalmontagny.inha.fr/en/record/montagny03v01b,Folio 3 Verso,"Leaf 3v, top of the page","Horizontal, turn book clockwise",[diagonal] Elmo greco,,White paper,"Ink, line drawing",,Original work of art (made from),Helmet,Location unknown,,,,bas-relief (sculpture technique),,,,,,,Helmet,,,,,2015-09-12T19:19:00Z
Bassorilievo (?) - Maenad,http://digitalmontagny.inha.fr/en/record/montagny72r03,Folio 72 Recto,"Leaf 72r, middle of the page, center",Vertical,Baccante,,Blue paper,Ink,,Original work of art (made from),,Location unknown,,,,,,,,,,,"Bacchant, Thyrsus",,,,,2015-08-15T14:32:00Z
